# lag_days = last message in the session minus trigger_received_on (when the bot offered it).
# end_source: last_message is the true end; updated_at is the fallback. They agreed on every row.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_time,end_source,lag_days,within_2d
FLW_7f2583,2026-07-27T11:09:38.736465+00:00,last_message,0.0556,Y
FLW_2b5331,2026-07-28T17:34:00.989948+00:00,last_message,0.1854,Y
FLW_692a61,2026-07-10T16:26:44.587128+00:00,last_message,4.1977,N
FLW_1d06b6,2026-07-07T04:41:04.705764+00:00,last_message,0.6976,Y
FLW_1b87a2,2026-07-06T16:17:16.487517+00:00,last_message,0.1486,Y
FLW_6e5cc4,2026-07-06T18:13:40.313026+00:00,last_message,0.2268,Y
FLW_b2c206,2026-07-07T10:28:07.030681+00:00,last_message,0.9019,Y
FLW_3f8381,2026-07-06T17:20:53.953318+00:00,last_message,0.1839,Y
FLW_042711,2026-07-06T14:16:01.710318+00:00,last_message,0.0545,Y
FLW_7ef4c8,2026-07-06T20:48:28.412982+00:00,last_message,0.3245,Y
FLW_0a500b,2026-07-06T15:15:35.348591+00:00,last_message,0.0892,Y
FLW_ccc551,2026-07-06T20:23:17.518283+00:00,last_message,0.2994,Y
FLW_e2f7fc,2026-07-06T16:24:01.643775+00:00,last_message,0.1295,Y
FLW_f645df,2026-07-06T15:03:44.819522+00:00,last_message,0.0536,Y
