# lag_days = last message in the session minus trigger_received_on (when offered).
# session_id is omitted: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_source,lag_days,within_2d
FLW_77b741,last_message,0.6513,Y
FLW_4f7465,last_message,1.1409,Y
FLW_8c8d5b,last_message,0.4886,Y
FLW_fceaa6,last_message,1.4977,Y
FLW_76378b,last_message,0.7138,Y
FLW_55dab3,last_message,0.1265,Y
FLW_fadbd4,last_message,1.7139,Y
FLW_ef1865,last_message,0.1069,Y
FLW_b6d917,last_message,0.0916,Y
FLW_b900c0,last_message,0.1328,Y
FLW_fd220a,last_message,0.9287,Y
FLW_6e062c,last_message,0.3828,Y
FLW_e10500,last_message,0.0539,Y
FLW_d95699,last_message,0.0651,Y
FLW_86c140,last_message,2.0439,N
FLW_48e470,last_message,0.04,Y
FLW_47ea12,last_message,0.1169,Y
FLW_8902b7,last_message,0.0606,Y
FLW_0ca1de,last_message,0.1889,Y
FLW_6b698f,last_message,0.0954,Y
FLW_252b2e,last_message,0.7923,Y
FLW_8762cf,last_message,0.6412,Y
FLW_55ecaf,last_message,0.7778,Y
FLW_3e6810,last_message,0.0334,Y
FLW_4041a4,last_message,0.5484,Y
FLW_37e7d1,last_message,0.0526,Y
FLW_e33e45,last_message,0.39,Y
FLW_e1813b,last_message,0.115,Y
FLW_e45e34,last_message,0.5675,Y
FLW_301885,last_message,0.054,Y
FLW_3a639f,last_message,0.1434,Y
FLW_b878bf,last_message,0.0498,Y
FLW_ff4a9c,last_message,0.4398,Y
FLW_1c8194,last_message,0.8327,Y
FLW_e69708,last_message,0.3497,Y
FLW_cc96bf,last_message,0.138,Y
FLW_1e0438,last_message,0.2663,Y
FLW_2228e2,last_message,0.1985,Y
FLW_664192,last_message,0.1011,Y
FLW_39b1d8,last_message,0.7761,Y
FLW_4a0a8a,last_message,0.1022,Y
FLW_b1d154,last_message,0.0446,Y
FLW_106459,last_message,0.1585,Y
FLW_825bf6,last_message,0.043,Y
FLW_331f2f,last_message,0.0915,Y
FLW_670edf,last_message,0.649,Y
FLW_2e2677,last_message,0.1574,Y
FLW_f6d123,last_message,0.2166,Y
FLW_79e0f6,last_message,0.1372,Y
FLW_3974ff,last_message,0.162,Y
FLW_cbe450,last_message,0.1006,Y
FLW_3114cc,last_message,0.585,Y
FLW_eeec09,last_message,0.6776,Y
FLW_3cf444,last_message,0.5834,Y
FLW_45aec0,last_message,0.0976,Y
FLW_e9444c,last_message,0.9199,Y
FLW_851881,last_message,0.0766,Y
FLW_a7b524,last_message,0.0513,Y
FLW_30d84c,last_message,0.0557,Y
FLW_ff1ca5,last_message,0.4364,Y
FLW_2aa0a5,last_message,0.0427,Y
FLW_574a4c,last_message,0.4289,Y
FLW_fd58f7,last_message,0.1111,Y
FLW_1bcb1c,last_message,0.0468,Y
FLW_fb9a36,last_message,0.5866,Y
FLW_2ebea7,last_message,0.1677,Y
FLW_7ae17d,last_message,0.5349,Y
FLW_62d907,last_message,0.4732,Y
FLW_ae7ed2,last_message,0.1043,Y
FLW_1ff198,last_message,0.0682,Y
FLW_8d0b05,last_message,1.1336,Y
FLW_f5a021,last_message,0.3674,Y
FLW_537813,last_message,0.0358,Y
FLW_606128,last_message,3.8595,N
FLW_e368fa,last_message,0.0781,Y
FLW_84d3e3,last_message,0.1216,Y
FLW_771842,last_message,0.0942,Y
FLW_783c2b,last_message,0.1033,Y
FLW_65d5ad,last_message,0.059,Y
FLW_684a48,last_message,1.5934,Y
FLW_a24be9,last_message,0.067,Y
FLW_d7b0c2,last_message,0.149,Y
FLW_31f5c5,last_message,1.3215,Y
FLW_d16071,last_message,0.0574,Y
FLW_0b4b89,last_message,0.0919,Y
FLW_2cee08,last_message,0.5693,Y
FLW_da81d6,last_message,0.0519,Y
FLW_7c56c3,last_message,0.091,Y
FLW_bd52a1,last_message,0.0822,Y
FLW_9f0585,last_message,0.888,Y
FLW_8b89b7,last_message,0.0825,Y
FLW_08de1c,last_message,0.4564,Y
FLW_7c05e3,last_message,0.0668,Y
FLW_d75081,last_message,0.092,Y
FLW_12ca3a,last_message,0.2773,Y
FLW_60cdcb,last_message,0.0889,Y
FLW_d945a4,last_message,0.3867,Y
FLW_8e30c2,last_message,0.5814,Y
FLW_a54c48,last_message,0.5901,Y
FLW_25265b,last_message,0.0681,Y
FLW_675a59,last_message,0.0427,Y
FLW_4c26fa,last_message,0.0313,Y
FLW_e33650,last_message,1.4057,Y
FLW_726358,last_message,9.566,N
FLW_2a5b7f,last_message,0.0271,Y
FLW_a5e399,last_message,0.066,Y
FLW_047202,last_message,0.2379,Y
FLW_663550,last_message,0.0899,Y
FLW_9e368f,last_message,1.3329,Y
FLW_cfa3f7,last_message,0.16,Y
FLW_e6fbcb,last_message,0.0544,Y
FLW_2d0bde,last_message,0.1348,Y
FLW_43e624,last_message,0.0867,Y
FLW_4cfdaf,last_message,0.469,Y
FLW_466f5c,updated_at,0.3584,Y
